#### Общая информация

Метрика                       | Значение                                          
Файл(-ы)                      | 2.txt                                             
Начальная дата                | -                                                 
Конечная дата                 | -                                                 
Количество запросов           | 7913                                              
Средний размер ответа         | 410807b                                           

#### Запрашиваемые ресурсы

Ресурс                        | Количество                                        
/product_1                    | 4343                                              
/product_2                    | 3563                                              
/product_3                    | 7                                                 

#### Коды ответа

Код  | Имя                      | Количество                                        
404  | Not Found                | 5261                                              
304  | Not Modified             | 2049                                              
200  | OK                       | 568                                               
206  | Partial Content          | 20                                                
403  | Forbidden                | 15                                                

#### Методы HTTP-запросов

Метод                         | Количество                                        
GET                           | 7871                                              
HEAD                          | 42                                                

#### HTTP User agents

User agent                                                                                                         | Количество                                        
Debian APT-HTTP/1.3 (0.9.7.9)                                                                                      | 1999                                              
Debian APT-HTTP/1.3 (1.0.1ubuntu2)                                                                                 | 1917                                              
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)                                                                      | 1021                                              
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)                                                                      | 677                                               
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)                                                                      | 449                                               
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.7)                                                                       | 319                                               
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)                                                                      | 295                                               
Wget/1.13.4 (linux-gnu)                                                                                            | 144                                               
urlgrabber/3.9.1 yum/3.2.29                                                                                        | 120                                               
Debian APT-HTTP/1.3 (0.8.10.3)                                                                                     | 113                                               
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.20.1)                                                                    | 105                                               
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.2)                                                                       | 88                                                
urlgrabber/3.9.1 yum/3.4.3                                                                                         | 60                                                
Debian APT-HTTP/1.3 (0.9.7.8)                                                                                      | 47                                                
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.5)                                                                       | 43                                                
Debian APT-HTTP/1.3 (0.9.9.1~ubuntu1)                                                                              | 40                                                
Debian APT-HTTP/1.3 (0.9.12.1)                                                                                     | 35                                                
Chef Client/11.6.2 (ruby-1.9.3-p448; ohai-6.18.0; x86_64-linux; +http://opscode.com)                               | 33                                                
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.14)                                                                      | 30                                                
Debian Apt-Cacher-NG/0.7.11                                                                                        | 28                                                
Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.11)                                                                      | 28                                                
python-requests/2.0.0 CPython/2.6.6 Linux/2.6.32-358.18.1.el6.x86_64                                               | 24                                                
urlgrabber/3.10 yum/3.4.3                                                                                          | 22                                                
Debian APT-HTTP/1.3 (1.0.9.5)                                                                                      | 19                                                
Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36             | 18                                                
Wget/1.15 (linux-gnu)                                                                                              | 18                                                
Chef Client/11.12.8 (ruby-1.9.3-p484; ohai-7.0.4; x86_64-linux; +http://opscode.com)                               | 18                                                
urlgrabber/3.1.0 yum/3.2.22                                                                                        | 17                                                
Chef Client/11.16.4 (ruby-1.9.3-p547; ohai-7.4.0; x86_64-linux; +http://opscode.com)                               | 17                                                
